label,N,P,K,temperature,humidity,ph,rainfall
lentil,34.87,72.18,19.06,25.66,73.53,7.3,117.8
lentil,25.13,63.27,22.3,27.35,67.17,6.68,100.77
lentil,23.36,63.7,20.54,27.44,63.8,6.52,87.02
lentil,28.58,75.93,26.5,24.41,67.87,6.44,107.92
lentil,26.57,65.47,20.55,24.9,63.53,6.4,125.61
lentil,38.55,55.37,14.96,22.09,64.48,6.86,108.87
lentil,25.86,69.23,17.23,23.51,64.9,5.87,82.58
lentil,19.39,71.11,20.98,25.22,55.8,5.91,109.95
lentil,11.11,74.8,12.71,25.69,60.56,6.92,148.12
lentil,13.63,70.56,12.77,24.85,63.97,6.55,86.32
lentil,28.9,53.41,24.97,23.18,57.99,7.14,98.99
lentil,34.54,74.77,16.81,23.83,65.61,7.11,106.56
lentil,25.88,63.4,19.8,26.61,65.02,6.34,91.53
lentil,22.23,53.78,17.0,27.0,63.97,6.78,62.82
lentil,27.84,63.71,18.07,24.36,62.52,5.65,113.83
lentil,26.22,62.49,16.14,21.06,66.12,7.15,103.05
lentil,18.09,66.8,19.79,25.73,68.03,5.31,108.18
lentil,19.98,53.63,19.25,24.82,56.8,6.78,111.45
lentil,25.23,58.06,16.08,26.05,57.44,6.93,97.52
lentil,24.52,51.34,19.41,25.23,58.32,6.7,101.34
lentil,21.78,71.84,11.19,24.69,73.1,7.08,105.85
lentil,23.49,59.91,18.79,25.09,60.96,6.8,132.0
lentil,24.69,54.24,14.62,25.55,64.7,6.85,92.0
lentil,29.15,63.73,17.07,23.2,59.01,7.3,98.55
lentil,28.22,60.71,15.79,23.53,70.51,6.29,86.94
lentil,25.78,68.99,26.57,24.71,68.22,6.79,82.7
lentil,20.18,56.33,14.67,25.59,66.45,6.53,61.11
lentil,35.28,57.85,28.21,21.1,60.94,5.62,105.43
lentil,19.49,56.42,14.51,25.55,68.56,7.22,89.71
lentil,26.09,54.69,18.66,22.96,67.32,6.91,114.87
lentil,20.79,72.99,19.82,23.35,61.46,6.28,126.13
lentil,26.54,66.4,18.95,28.89,71.53,6.21,95.9
lentil,23.93,66.17,17.2,24.88,72.26,5.97,83.08
lentil,22.58,61.51,27.99,26.0,69.72,6.39,95.71
lentil,17.74,71.25,21.96,26.57,63.95,6.44,102.55
lentil,29.46,53.24,22.94,23.96,59.71,5.67,97.95
lentil,32.24,78.4,21.42,27.92,64.79,6.88,93.23
lentil,22.43,59.58,11.76,26.57,61.79,6.18,82.3
lentil,23.98,79.11,28.38,20.68,63.23,6.09,114.83
lentil,26.43,59.91,20.29,23.05,73.07,6.72,110.05
lentil,11.67,64.47,28.33,26.65,55.76,6.37,81.98
lentil,33.56,66.95,16.93,24.07,51.96,6.07,100.55
lentil,29.23,49.47,18.48,26.02,57.74,6.59,100.99
lentil,33.57,63.16,19.31,25.71,58.37,6.41,93.16
lentil,24.31,71.79,22.22,22.5,65.68,7.1,87.53
lentil,25.73,63.45,19.75,20.74,72.05,6.19,115.39
lentil,21.89,60.0,24.85,25.99,66.04,6.8,95.67
lentil,24.96,59.71,23.62,22.61,72.43,6.37,100.31
lentil,28.79,65.19,18.81,23.94,69.47,6.23,98.11
lentil,25.05,71.92,19.6,27.62,64.22,6.4,97.43
lentil,18.42,56.71,17.88,26.27,64.83,6.31,118.4
lentil,32.76,75.04,16.59,23.01,74.07,6.6,95.99
lentil,28.59,73.06,17.71,24.44,69.63,6.04,100.19
lentil,19.43,57.13,17.75,24.95,63.39,6.24,100.77
lentil,19.27,68.43,24.53,23.84,63.99,6.65,69.57
lentil,27.68,89.82,19.51,23.76,68.72,7.16,114.62
lentil,14.22,69.51,30.29,25.24,59.23,6.61,80.79
lentil,31.16,57.35,20.3,22.28,62.27,7.09,101.55
lentil,22.2,55.84,12.51,21.5,65.56,6.89,91.59
pomegranate,27.85,12.13,14.05,19.84,69.95,7.34,93.57
pomegranate,18.27,20.06,9.21,23.13,71.11,6.53,128.25
pomegranate,28.8,22.79,14.75,20.94,60.4,6.89,99.42
pomegranate,18.74,15.41,12.99,22.56,77.82,6.45,113.47
pomegranate,25.08,15.96,20.76,22.33,63.76,5.79,95.7
pomegranate,10.82,16.52,9.55,24.51,65.15,6.4,107.34
pomegranate,23.11,11.78,11.06,24.38,66.77,6.41,129.62
pomegranate,20.04,16.53,11.73,26.14,62.1,7.12,117.17
pomegranate,24.04,17.94,19.59,20.32,70.38,7.24,116.12
pomegranate,20.17,12.91,13.61,25.42,59.98,6.12,144.16
pomegranate,23.12,23.48,13.2,22.25,61.7,6.56,93.39
pomegranate,23.42,16.29,14.77,21.22,60.53,6.79,102.43
pomegranate,22.56,23.3,20.94,18.99,62.32,6.67,118.95
pomegranate,13.0,16.54,14.96,25.83,63.73,6.97,100.99
pomegranate,14.86,17.89,19.33,20.09,65.12,5.95,117.28
pomegranate,24.18,13.26,14.0,19.74,61.76,7.2,121.09
pomegranate,14.99,13.74,8.61,19.97,71.8,6.44,148.36
pomegranate,19.52,14.86,17.56,16.65,66.02,6.48,142.29
pomegranate,24.82,10.47,19.97,21.48,60.48,6.58,116.96
pomegranate,27.69,16.36,15.82,23.8,70.46,6.81,141.29
pomegranate,23.04,15.67,19.96,21.82,65.17,7.19,144.33
pomegranate,19.96,13.19,20.85,23.6,66.58,6.37,124.98
pomegranate,19.89,12.34,15.52,22.53,63.12,6.86,139.33
pomegranate,24.85,13.9,18.02,22.16,58.82,6.77,122.19
pomegranate,32.97,20.83,17.84,22.5,65.82,6.1,93.92
pomegranate,15.64,14.81,6.58,20.91,63.76,6.41,110.07
pomegranate,18.29,21.9,17.65,20.88,64.66,6.49,108.48
pomegranate,16.15,19.04,13.32,19.81,64.78,6.55,90.41
pomegranate,19.8,18.47,16.8,26.46,71.26,7.08,162.0
pomegranate,23.79,15.65,18.89,20.88,65.54,6.24,125.97
pomegranate,16.74,12.25,16.65,21.72,55.36,5.92,102.79
pomegranate,15.59,16.66,15.88,24.13,68.76,6.93,129.13
pomegranate,21.05,19.4,18.68,22.75,71.36,5.56,115.64
pomegranate,18.47,19.61,21.29,19.1,72.06,6.03,102.88
pomegranate,18.83,13.73,8.77,23.3,68.4,6.92,113.5
pomegranate,19.8,14.88,21.75,16.33,60.22,6.5,103.72
pomegranate,18.71,14.5,12.37,22.13,68.14,6.41,113.2
pomegranate,19.17,14.97,8.04,22.92,62.74,7.0,128.87
pomegranate,25.85,10.96,13.51,19.52,61.47,7.0,142.31
pomegranate,14.26,13.17,14.7,23.17,56.2,5.86,127.34
pomegranate,10.25,13.21,15.65,22.83,64.29,6.35,132.67
pomegranate,21.43,12.41,15.15,22.77,73.59,6.81,138.22
pomegranate,16.95,12.9,14.06,21.71,59.96,7.01,133.25
pomegranate,18.47,17.57,15.89,23.44,58.28,6.44,119.13
pomegranate,23.12,12.49,5.0,19.84,64.69,6.53,145.26
pomegranate,22.91,15.33,14.87,24.21,62.05,6.44,103.66
pomegranate,27.09,16.57,12.17,21.77,67.55,6.4,111.98
pomegranate,16.73,16.36,13.57,21.09,58.32,6.53,117.28
pomegranate,18.39,15.8,17.99,23.4,67.76,6.4,111.5
pomegranate,14.78,12.63,15.08,20.43,65.48,6.11,95.09
pomegranate,24.1,13.1,11.65,19.81,67.12,7.05,113.95
pomegranate,18.92,19.29,7.76,25.93,77.22,5.42,118.54
pomegranate,16.41,13.94,13.33,23.62,64.44,6.14,117.42
pomegranate,22.57,10.27,8.42,25.99,61.79,6.45,114.03
pomegranate,22.74,22.09,17.32,18.96,58.08,6.34,115.98
pomegranate,11.39,18.28,10.65,24.99,74.1,6.4,126.58
pomegranate,13.84,17.49,13.01,19.83,63.55,6.31,115.12
pomegranate,24.75,11.86,21.94,19.35,73.08,6.09,119.98
pomegranate,17.55,13.63,18.21,25.0,70.95,6.34,122.76
pomegranate,16.09,11.03,10.41,21.12,66.25,5.74,119.3
pomegranate,27.58,19.49,12.66,19.21,67.3,5.57,136.65
pomegranate,18.93,22.33,8.09,23.84,64.5,6.37,99.45
pomegranate,22.98,17.7,22.14,24.02,62.03,6.1,99.47
pomegranate,27.37,11.89,20.92,23.05,66.65,6.38,129.91
pomegranate,19.92,13.52,17.78,21.71,61.01,6.74,119.04
pomegranate,22.44,13.18,10.16,25.47,72.73,6.85,114.18
pomegranate,18.5,20.53,13.58,20.73,74.36,6.48,146.53
pomegranate,13.01,17.07,23.28,22.06,63.68,6.03,136.24
pomegranate,16.15,14.62,10.06,25.11,70.77,6.49,102.69
pomegranate,27.68,13.54,10.58,18.48,61.77,5.92,110.66
pomegranate,23.72,13.5,16.42,20.55,65.33,7.27,114.77
pomegranate,21.92,8.74,21.08,21.05,70.25,6.45,129.17
pomegranate,23.36,13.19,19.37,20.48,68.89,6.34,125.24
pomegranate,17.69,15.2,10.7,22.5,65.22,6.28,119.17
pomegranate,20.67,12.53,14.48,19.99,76.73,6.92,124.1
pomegranate,25.86,7.08,4.77,21.2,58.11,6.41,123.08
pomegranate,24.6,10.45,16.6,22.03,66.74,6.29,140.75
pomegranate,19.48,22.1,11.84,23.49,64.7,6.37,129.48
pomegranate,18.5,4.35,2.75,24.54,71.15,7.25,119.74
pomegranate,13.54,13.32,15.05,19.99,73.24,7.4,127.17
pomegranate,19.95,9.82,21.19,22.15,63.55,6.69,111.21
pomegranate,20.73,9.23,19.35,21.79,70.79,6.42,117.96
pomegranate,13.94,18.04,11.5,21.03,65.01,6.55,94.41
pomegranate,18.85,18.18,13.49,21.55,65.81,6.45,104.54
pomegranate,19.82,18.98,10.8,21.25,58.09,6.88,118.61
pomegranate,15.75,15.37,10.19,19.93,57.7,6.07,140.36
pomegranate,16.33,16.86,11.65,23.52,59.87,6.52,120.79
pomegranate,31.64,17.52,12.63,23.37,75.69,5.85,107.36
pomegranate,18.82,13.33,13.67,19.39,72.02,5.93,117.0
pomegranate,25.23,14.88,11.08,19.3,63.85,6.2,123.08
pomegranate,12.99,18.25,15.46,22.38,72.21,6.32,109.11
pomegranate,17.26,14.23,14.64,20.34,54.88,6.28,125.4
pomegranate,20.68,19.8,22.82,23.52,71.91,6.81,145.65
pomegranate,29.25,18.8,17.83,21.59,64.79,6.36,129.32
pomegranate,16.4,14.24,5.58,25.45,63.9,6.68,141.87
pomegranate,21.5,20.78,10.03,26.79,70.44,6.58,141.38
pomegranate,14.16,13.85,20.78,18.27,67.8,6.71,149.54
pomegranate,12.09,21.44,12.76,21.11,58.89,6.06,126.05
pomegranate,14.44,17.96,12.35,19.57,62.36,6.63,115.84
pomegranate,20.17,17.78,19.33,21.38,59.78,6.53,127.06
banana,82.47,74.88,45.68,29.58,76.19,6.28,117.9
banana,81.04,79.33,48.95,27.09,76.97,5.84,142.13
banana,101.82,76.71,58.87,30.98,75.96,6.04,152.48
banana,114.58,77.2,54.6,30.08,87.46,6.52,153.94
banana,96.85,86.05,48.92,33.36,80.39,5.84,140.81
banana,85.44,86.45,45.08,32.2,73.54,6.05,173.0
banana,74.17,98.15,47.45,30.28,82.86,6.29,155.48
banana,111.97,86.15,60.57,31.04,89.82,6.36,113.88
banana,131.33,77.41,58.97,30.05,85.31,5.72,162.51
banana,96.96,94.63,52.63,31.87,69.18,5.97,158.21
banana,102.68,89.69,47.8,30.1,85.91,5.09,161.79
banana,95.99,74.7,52.02,32.45,85.2,5.95,167.51
banana,110.42,81.3,45.84,28.73,84.19,5.98,129.08
banana,79.78,88.65,46.72,30.66,86.2,5.48,149.1
banana,97.95,85.04,57.43,27.34,82.85,6.41,146.27
banana,98.35,85.35,52.07,31.16,82.81,5.61,169.81
banana,114.0,83.49,41.04,29.77,80.97,5.54,142.8
banana,83.09,86.86,51.0,26.71,81.76,5.98,160.33
banana,95.3,75.59,45.37,28.92,80.09,6.06,146.19
banana,94.92,79.19,65.05,28.46,77.21,7.32,158.42
banana,83.44,88.74,44.54,31.82,78.95,5.82,182.18
banana,106.8,89.78,52.61,29.11,83.06,6.48,152.69
banana,121.62,88.8,51.27,30.5,80.69,5.5,148.2
banana,102.65,78.67,52.03,30.04,83.87,6.27,153.34
banana,83.59,96.33,49.15,29.84,78.29,5.8,180.88
banana,116.63,85.56,49.35,31.24,80.37,5.92,156.76
banana,94.71,84.02,51.23,31.21,76.9,6.28,131.87
banana,93.13,77.77,43.57,32.03,75.15,5.72,175.11
banana,93.15,80.49,43.93,31.67,84.23,6.3,160.75
banana,100.88,77.8,45.11,32.58,83.82,5.72,150.8
banana,96.4,72.97,51.07,29.17,75.24,5.41,118.72
banana,95.54,81.32,44.75,31.3,79.67,6.23,146.34
banana,90.55,82.91,42.42,31.08,75.31,6.37,143.23
banana,112.75,73.02,45.93,30.76,85.85,6.67,150.83
banana,122.05,79.68,56.59,28.12,82.1,5.06,127.57
banana,105.6,71.5,52.56,31.81,77.49,5.61,140.52
banana,88.41,81.19,50.61,29.39,88.37,5.71,177.83
banana,87.51,82.58,57.1,32.26,77.9,6.22,158.42
banana,93.52,86.93,61.17,30.94,82.83,6.27,120.78
banana,105.52,73.87,46.46,34.32,78.73,5.7,173.05
banana,88.63,78.42,57.49,30.09,72.19,6.22,142.07
banana,118.48,77.15,56.31,33.55,75.75,5.92,157.77
banana,89.71,84.16,48.65,29.51,80.24,6.03,153.28
banana,92.81,77.56,49.29,29.91,77.81,6.13,113.7
banana,91.23,79.76,44.86,33.26,80.09,6.07,140.34
banana,99.81,72.28,48.98,28.13,78.61,4.98,127.44
banana,117.57,88.64,57.91,32.78,83.36,5.82,129.25
banana,113.76,82.52,64.96,29.27,89.86,5.94,176.72
banana,120.36,73.82,47.09,27.93,73.85,6.27,146.07
banana,100.63,86.45,38.86,32.57,78.25,6.21,162.41
banana,116.45,81.16,37.26,30.11,81.0,5.59,152.95
banana,95.67,71.26,54.03,28.87,77.97,5.81,174.71
banana,99.51,82.63,47.36,30.93,86.75,6.26,163.74
banana,107.27,70.96,44.74,29.59,76.37,5.57,112.56
banana,83.84,79.95,49.58,28.41,80.39,5.83,171.81
banana,98.06,87.57,51.22,27.2,79.55,5.51,147.84
banana,91.06,85.06,41.95,30.03,82.86,6.36,134.72
banana,100.21,83.47,59.28,27.04,75.44,7.12,144.54
banana,77.31,77.34,33.39,30.48,84.05,5.64,140.59
banana,111.08,68.0,42.07,29.54,76.24,5.88,124.72
banana,102.57,80.81,53.3,30.4,81.03,5.42,159.85
banana,96.03,80.67,56.29,28.56,86.76,6.58,165.06
banana,88.23,64.51,56.47,30.22,76.27,6.47,132.77
banana,94.91,86.2,43.32,29.78,85.45,6.08,174.95
banana,113.6,82.06,35.98,27.79,83.82,5.38,143.47
banana,104.06,93.76,46.55,28.71,79.74,6.14,146.92
banana,112.59,75.61,50.72,30.89,78.0,6.34,152.98
banana,109.47,83.55,52.26,28.74,76.85,6.49,162.71
banana,87.72,83.45,35.76,28.85,84.81,5.95,152.36
banana,63.8,78.86,52.03,30.93,84.81,5.92,146.69
banana,84.01,80.36,42.43,26.3,74.57,6.6,144.59
banana,102.64,77.89,39.26,31.87,69.14,5.78,148.91
banana,102.77,76.19,38.97,28.4,76.26,5.69,169.4
banana,85.44,84.41,50.95,31.92,79.33,6.32,146.56
banana,105.21,69.98,34.17,30.76,82.16,6.19,139.5
banana,117.88,78.32,52.53,31.19,88.59,5.87,136.94
banana,82.02,94.42,52.53,30.91,95.58,6.13,123.95
banana,97.65,74.2,47.62,29.19,77.06,5.44,181.85
banana,103.59,80.2,54.55,30.94,81.38,6.27,152.68
banana,108.04,88.02,50.98,29.56,87.65,5.81,157.83
banana,104.97,77.12,45.15,29.29,77.54,5.42,136.97
banana,103.19,92.13,53.33,24.8,83.21,5.78,159.06
banana,99.83,80.46,49.39,29.96,86.72,5.99,171.71
banana,111.28,87.34,39.28,32.23,77.71,6.29,130.55
banana,85.78,97.81,44.26,32.29,80.59,5.83,149.1
banana,84.39,81.89,43.5,29.21,84.63,6.1,120.36
banana,110.22,81.94,46.75,31.49,79.16,5.53,186.96
banana,99.79,81.35,47.57,32.36,77.38,5.38,136.43
banana,115.92,88.66,48.47,32.75,83.74,5.89,146.68
banana,103.95,75.34,50.03,30.62,71.57,5.92,143.94
banana,112.34,67.24,47.71,29.04,84.8,5.98,185.92
banana,107.95,78.72,51.44,29.29,84.3,5.47,133.53
banana,105.47,91.81,36.79,32.75,79.3,5.25,89.97
banana,81.65,81.84,49.6,31.27,77.25,5.56,141.74
banana,100.4,83.85,45.27,31.8,76.89,5.65,139.15
banana,112.9,80.94,45.83,31.85,90.71,6.08,174.68
banana,112.43,77.15,50.16,27.43,78.98,5.75,141.94
banana,91.0,79.7,53.19,29.76,70.68,5.7,119.61
banana,102.93,86.03,51.54,28.43,81.23,5.81,127.24
banana,108.9,88.54,55.69,28.78,85.9,5.8,163.07
mango,22.45,19.1,17.89,29.4,60.46,5.84,146.34
mango,19.19,17.75,25.48,28.87,65.16,6.59,109.49
mango,21.38,15.37,36.53,32.24,59.47,5.44,100.4
mango,25.85,22.2,19.67,29.36,68.09,5.91,142.34
mango,28.25,15.66,28.54,29.74,55.24,5.61,142.6
mango,20.11,24.31,27.82,29.95,62.81,5.76,128.52
mango,14.77,21.76,17.66,29.55,64.27,6.25,100.52
mango,19.15,17.25,30.93,25.94,59.93,6.12,115.75
mango,27.63,20.89,27.29,26.13,60.67,5.62,111.32
mango,27.4,25.67,29.81,31.11,52.78,6.1,119.1
mango,31.15,17.84,28.79,32.12,59.54,5.56,158.27
mango,19.61,19.74,31.73,30.54,59.05,5.93,116.48
mango,19.42,28.6,28.9,31.19,58.33,5.86,113.17
mango,17.25,19.36,27.96,32.34,54.02,5.77,106.52
mango,32.21,16.52,32.81,31.94,59.27,5.45,99.54
mango,29.3,14.96,31.96,30.23,61.89,6.19,105.99
mango,20.12,22.86,26.85,24.5,63.24,5.59,127.01
mango,31.96,20.07,34.98,30.31,67.94,5.58,119.88
mango,28.37,19.24,35.76,29.14,70.35,6.85,124.23
mango,27.76,24.77,24.06,27.38,66.28,6.11,116.6
mango,25.06,10.46,29.05,28.49,64.59,6.4,128.65
mango,26.98,14.01,32.95,31.26,66.23,6.85,94.61
mango,23.06,17.03,30.86,30.03,58.83,6.41,103.48
mango,19.79,15.9,28.2,27.54,59.76,5.93,108.2
mango,29.37,19.76,35.31,29.61,59.88,5.77,119.89
mango,28.56,18.35,32.59,28.37,63.8,5.77,132.78
mango,25.3,26.08,24.23,27.05,56.92,5.45,99.26
mango,28.11,19.98,27.6,29.23,57.01,6.66,108.97
mango,18.39,23.18,28.92,34.08,57.37,6.34,136.23
mango,22.39,17.03,33.71,31.15,52.95,5.55,81.95
mango,27.98,18.95,29.19,26.62,54.51,5.81,109.92
mango,25.59,22.33,41.35,29.96,65.58,5.67,94.88
mango,23.24,13.61,30.07,28.44,50.23,6.69,111.94
mango,16.81,23.59,26.36,32.18,56.33,5.78,125.17
mango,27.97,23.07,29.55,31.06,63.73,6.08,117.86
mango,17.77,22.4,30.21,29.17,66.39,5.43,144.66
mango,24.89,21.27,28.02,26.67,59.3,6.13,130.14
mango,24.01,11.23,22.29,34.1,54.54,6.57,105.99
mango,24.09,22.5,25.9,33.18,60.38,6.18,115.99
mango,28.29,26.32,29.34,33.46,56.94,6.31,127.34
mango,19.66,20.86,30.04,28.29,61.79,6.06,118.91
mango,24.66,19.64,28.16,30.28,56.78,7.06,98.86
mango,22.08,17.98,40.2,27.36,62.13,6.1,125.0
mango,31.18,24.86,27.75,30.39,50.68,6.04,108.09
mango,24.07,13.26,32.02,26.61,60.74,5.51,107.26
mango,30.77,22.35,35.75,33.12,56.14,6.6,98.02
mango,28.73,18.03,25.35,31.23,64.72,6.37,123.22
mango,25.66,22.11,31.52,31.08,61.02,6.34,95.59
mango,24.34,14.46,31.38,33.28,57.63,6.05,131.35
mango,14.66,17.91,31.82,24.21,55.12,6.44,135.04
mango,26.87,23.53,31.08,31.11,58.42,6.05,110.51
mango,31.32,26.09,36.9,29.18,55.23,6.51,128.16
mango,26.64,17.47,32.13,27.83,63.17,6.55,144.47
mango,28.54,14.47,30.99,34.28,55.66,5.98,141.2
mango,28.09,29.92,26.34,28.02,66.12,5.52,117.05
mango,24.67,24.14,33.07,30.91,57.99,6.49,180.39
mango,28.46,20.4,23.51,28.73,58.93,5.79,119.76
mango,33.89,24.99,29.21,27.58,66.69,5.98,94.1
mango,28.56,24.1,17.87,28.35,59.45,6.29,112.26
mango,20.84,22.91,27.66,31.08,54.44,5.46,131.33
mango,26.26,23.69,27.34,28.41,66.8,5.39,138.77
mango,31.6,23.44,26.56,28.37,58.95,5.48,105.57
mango,28.22,22.6,24.75,31.35,62.27,6.6,128.54
mango,30.29,21.91,34.9,27.43,59.39,5.98,116.34
mango,27.22,22.54,31.96,29.65,56.32,6.44,125.25
mango,19.91,19.23,21.28,30.07,59.01,5.77,143.77
mango,19.22,22.83,40.93,32.15,59.84,5.55,99.57
mango,22.94,17.25,26.4,29.35,59.49,6.19,101.43
mango,21.59,19.36,29.02,33.67,61.16,5.35,126.27
mango,27.73,19.5,23.93,33.52,54.65,6.26,123.0
mango,28.0,26.83,32.81,28.88,65.53,5.75,122.45
mango,18.53,15.87,30.26,30.74,51.49,6.2,107.71
mango,31.4,18.59,24.38,30.15,55.42,6.51,120.01
mango,24.24,22.37,24.98,27.42,62.04,5.56,103.5
mango,29.18,22.1,23.73,28.76,55.48,6.71,133.59
mango,22.9,22.3,23.22,28.65,60.52,6.18,118.54
mango,26.24,20.31,29.18,29.41,57.87,6.09,126.16
mango,25.99,15.29,25.01,30.8,67.36,6.06,113.82
mango,26.12,15.45,36.54,30.37,56.65,5.93,112.09
mango,31.56,19.19,30.78,31.15,56.3,6.08,124.12
mango,17.23,21.01,29.77,30.26,60.18,6.1,140.06
mango,19.1,18.63,33.33,30.96,62.3,7.1,129.21
mango,30.65,18.77,25.04,29.37,63.56,6.16,126.05
mango,23.93,18.5,29.1,31.45,64.2,5.6,131.44
mango,21.75,21.88,29.04,33.13,57.91,6.07,129.1
mango,20.63,19.71,28.67,28.97,57.8,6.44,111.02
mango,27.83,21.26,23.02,31.04,52.93,6.25,112.39
mango,25.04,14.82,30.61,31.85,55.97,5.76,126.82
mango,27.4,10.26,40.08,31.06,63.48,5.94,92.17
mango,28.37,17.74,32.72,29.56,61.19,5.69,132.97
mango,19.06,28.98,41.19,33.27,66.38,5.97,137.5
mango,24.52,13.79,37.52,32.26,59.84,5.51,111.21
mango,15.89,23.78,21.98,30.57,55.78,5.43,123.58
mango,23.33,23.35,23.66,28.49,48.06,5.13,146.97
mango,35.42,20.37,25.88,29.4,64.37,5.79,123.56
mango,24.94,17.72,27.37,30.59,55.12,6.18,112.93
mango,25.64,25.54,29.16,31.84,51.04,5.81,120.42
mango,34.62,12.16,29.52,32.91,56.07,5.91,124.98
mango,25.92,26.26,32.24,32.66,58.2,5.7,116.61
mango,19.2,21.93,28.07,28.66,62.49,5.54,131.56
grapes,22.61,141.59,195.29,26.26,82.9,6.3,81.32
grapes,16.68,140.09,198.95,26.58,85.45,5.69,69.02
grapes,28.28,126.97,211.24,24.64,87.12,6.17,83.46
grapes,23.13,132.32,214.31,24.89,84.66,6.02,81.5
grapes,33.62,142.02,200.95,25.43,78.49,5.93,83.71
grapes,29.25,137.49,186.69,26.95,81.56,5.61,96.04
grapes,32.32,132.64,208.51,26.53,88.98,6.29,64.07
grapes,35.05,140.66,193.89,22.94,84.52,5.89,83.96
grapes,28.72,124.34,186.61,25.77,79.33,6.06,63.88
grapes,23.74,137.15,207.27,23.42,76.16,6.01,86.73
grapes,27.03,124.88,203.57,28.0,83.03,5.35,82.44
grapes,35.22,117.13,200.36,24.55,82.48,6.08,93.68
grapes,25.42,142.77,198.59,24.3,78.65,5.27,83.31
grapes,35.27,134.58,208.24,24.17,80.78,6.39,104.1
grapes,32.44,138.05,200.42,25.42,78.23,5.42,66.48
grapes,25.25,127.08,182.37,24.93,80.41,5.53,75.56
grapes,23.4,123.83,211.12,21.19,72.07,6.0,81.15
grapes,27.02,124.61,188.98,24.99,79.79,6.62,76.11
grapes,24.73,154.75,197.66,26.11,85.23,6.29,83.47
grapes,25.97,131.0,193.09,25.65,92.14,6.48,83.65
grapes,29.28,121.31,196.87,26.9,89.44,5.69,74.2
grapes,35.91,130.96,221.88,25.41,83.23,5.88,91.31
grapes,31.79,119.65,195.77,26.83,81.35,5.8,92.11
grapes,30.52,125.5,202.55,22.58,77.52,6.05,80.38
grapes,20.17,122.84,187.22,25.91,72.16,5.6,57.64
grapes,27.1,111.97,200.38,28.28,90.37,5.28,83.58
grapes,20.06,118.07,198.64,27.46,85.0,5.71,88.46
grapes,13.78,122.47,190.11,25.16,80.99,5.94,77.9
grapes,25.11,135.4,201.79,24.43,84.01,6.33,73.33
grapes,24.7,141.62,186.77,28.61,75.3,5.86,68.6
grapes,35.94,124.97,193.99,24.26,82.48,5.87,78.41
grapes,7.35,130.57,200.21,27.08,88.55,5.92,89.79
grapes,19.49,137.67,193.13,22.63,81.07,6.56,82.17
grapes,32.48,122.51,212.57,23.7,83.13,6.09,87.94
grapes,26.25,122.61,210.56,28.46,79.08,5.27,85.99
grapes,23.34,128.69,206.67,24.09,80.66,5.96,97.64
grapes,25.15,117.64,185.65,25.28,76.35,5.38,87.63
grapes,28.42,126.32,203.52,25.38,85.01,6.24,48.73
grapes,23.8,135.18,195.07,25.07,85.75,6.03,98.1
grapes,30.63,128.81,197.62,19.3,80.37,5.46,82.65
grapes,25.76,136.96,216.76,24.95,93.4,6.09,64.28
grapes,22.19,126.27,207.11,23.11,80.51,5.94,74.62
grapes,29.06,136.41,214.0,24.34,88.01,5.45,63.34
grapes,18.93,130.09,214.43,23.8,79.62,5.91,86.87
grapes,22.61,124.67,183.86,23.86,87.89,6.04,71.12
grapes,31.18,124.15,217.04,27.81,82.28,5.4,107.47
grapes,26.94,126.76,211.47,26.4,88.55,5.74,83.82
grapes,19.07,136.66,199.72,25.56,81.27,5.9,69.58
grapes,28.95,144.9,193.32,26.11,84.16,6.0,61.68
grapes,18.49,122.19,174.33,27.82,83.84,5.99,53.72
grapes,15.88,129.98,223.65,23.6,86.32,5.81,80.66
grapes,31.07,126.54,191.72,27.84,82.23,6.44,71.78
grapes,32.03,132.74,205.22,25.26,79.47,6.0,74.69
grapes,29.8,127.97,182.04,21.64,73.37,6.25,66.18
grapes,26.5,131.37,199.22,25.88,82.79,4.92,76.12
grapes,27.13,146.4,220.24,22.27,80.25,5.37,98.24
grapes,30.06,133.51,201.99,27.76,88.06,6.46,85.48
grapes,23.25,137.67,209.79,24.62,80.24,6.45,99.97
grapes,21.25,127.37,204.21,25.97,79.39,6.75,85.07
grapes,27.66,147.59,194.61,24.82,75.73,5.93,62.13
grapes,28.74,134.2,196.68,24.8,85.81,5.55,82.45
grapes,28.5,112.18,208.22,21.65,81.41,5.53,97.17
grapes,19.21,113.5,201.6,24.17,74.48,6.21,56.1
grapes,19.82,124.25,209.63,27.59,87.51,5.94,50.87
grapes,26.95,144.71,214.81,25.93,76.05,5.79,103.21
grapes,17.92,118.52,211.31,24.14,76.09,6.61,85.53
grapes,23.09,118.54,224.57,24.95,88.99,6.36,73.75
grapes,22.44,144.46,217.55,21.25,84.75,5.95,67.6
grapes,26.31,116.5,194.4,23.4,79.5,5.97,67.81
grapes,32.87,134.93,221.53,24.68,79.26,6.7,73.06
grapes,24.11,137.2,185.15,26.42,84.92,6.51,90.68
grapes,31.5,128.9,189.65,29.22,74.37,5.43,86.78
grapes,33.12,131.9,211.99,21.01,79.5,5.25,89.36
grapes,17.26,117.22,206.17,27.12,81.21,6.23,86.45
grapes,23.92,119.05,206.78,26.23,86.47,6.12,65.98
grapes,28.45,129.99,194.21,24.41,78.55,6.36,62.98
grapes,20.03,126.71,219.37,27.11,73.8,6.54,96.19
